"","CodeSp","SLA","SM","WD","LDMC","LL","SMlog","CE"
"1","ABBA",9.425401743,6.85916739,0.387285543,0.3453116,48.4281835685747,1.92558606265153,"E"
"257","ACMO",11.63741225,40.07402058,0.764937562,0.42875,5.9901095890411,3.69072825852135,"D"
"676","ACPL",23.27791388,112.3439329,0.556662097,0.374608207,6.01279793037179,4.72156499539304,"D"
"1276","ACRU",19.66519886,21.39971597,0.572932072,0.359855939,8.75808975089687,3.06337764950982,"D"
"1532","ACSA",24.47251039,59.40202788,0.751845238,0.348629479,8.7502400096004,4.0843283651798,"D"
"1967","ARUN",9.03680745,4.694661137,0.57595453,0.362292667,14.3883333333333,1.5464259347626,"E"
"2350","BEAL",28.08017836,1.66160375,0.6628,0.294872499,12.0004800192008,0.507783250438076,"D"
"2603","BEPA",23.20018485,0.40826843,0.542692,0.431195173,7.8002400096004,-0.895830404243598,"D"
"3222","FROR",14.11425035,20.52232569,1.076666667,0.32955663,5.827667,3.02151335159963,"D"
"3729","LADE",13.24872748,5.234611311,0.490310393,0.357444999,6.0042659767906,1.65529259342844,"D"
"4025","LALA",17.46668394,1.579552169,0.522,0.3156818,9.00279959567476,0.457141369521148,"D"
"4361","OLEU",6.568333682,262.4783611,0.778165,0.45744,25.5633333333333,5.57016864472906,"E"
"4737","PHLA",6.553323318,19.92463059,0.6268642,0.387240415,31.7888333333333,2.99195668447932,"E"
"5121","PIAB",5.800679283,6.586599331,0.409495117,0.456775415,82.9895748070188,1.88503718057304,"E"
"5558","PIGL",15.30626376,2.218615722,0.403544538,0.442864997,73.1393899020543,0.796883452748228,"E"
"5894","PIHA",9.429122336,20.68333948,0.427439991,0.416245198,30.4425,3.02932852016216,"E"
"6276","PILE",7.884521511,21.38242742,0.648941452,0.46227357,18.946,3.06256943610249,"E"
"6881","PIPI",7.51,699.9693688,0.511320033,0.47059,35.81,6.55103657522881,"E"
"7265","PIPN",6.393444414,54.7111238,0.457433642,0.378622935,38.494,4.00206704889932,"E"
"7782","PIRE",7.448653333,8.529390935,0.432085714,0.494,37.4699204836376,2.14351795625793,"E"
"8038","PIRU",7.46384,3.955428487,0.39,0.3217156,71.5266535413892,1.37508893593274,"E"
"8294","PIST",12.3658091,16.22469049,0.367061111,0.47880475,18.1469310631063,2.7865341862911,"E"
"8768","PISY",6.248000382,7.130413601,0.451529609,0.424361608,34.6337165408666,1.96436924129917,"E"
"9278","QUIL",5.807516981,2281.436806,0.77670834,0.482495298,25.0464094368341,7.73256070153984,"E"
"9766","QUPU",10.0022066,977.5575,0.701319904,0.457591313,6.81980136986301,6.8850571136589,"D"
"10443","QURU",16.06196212,2955.238934,0.596599528,0.357692919,9.00663897478629,7.99133478410102,"D"
"10848","QUSU",9.682865582,3498.263109,0.72915997,0.517266718,15.161598173516,8.16002186973102,"E"
"11229","THOC",9.02565958,1.407828269,0.314,0.3229899,58.0213009226125,0.342048282257372,"E"
"1236","BEPE",16.40220468,0.294411771,0.521648879,0.372613864,5.19543364107546,-1.22277590991041,"D"
"1275","JUVI",2.696494128,11.93701149,0.496748056,0.504182999,59.28,2.47964378266584,"E"
"18081","PIBA",10.72064557,3.457921067,0.422342857,0.4137701,36.705000035328,1.24066756080046,"E"
"22811","PIOM",9.952554,3.595,0.521,0.3308256,114,1.27954399117301,"E"
"34691","QUAL",16.07190143,3114.856218,0.614281109,0.343414143,12.0004800192008,8.04393827221082,"D"
"35821","QUEL",17.17132142,1725.62498,0.57,0.387366198,6,7.45334457109441,"D"
"3682","QUMA",15.5866284,5986.964561,0.629175,0.349146487,9.0002400096004,8.69733981158263,"D"
"37961","QURO",14.78782282,3378,0.655774177,0.3754568,7.00853195358119,8.12503909736775,"D"
"45091","TIAM",25.81396088,93.11482326,0.364075,0.276512558,12.0004800192008,4.53383339029865,"D"
"46681","TICO",26.71875106,36.5,0.423116003,0.2916267,4.79315046161319,3.59731226058845,"D"
